0
0,088
0,178
0,275
0,423
0,449
0,504
0,535
0,691
0,884
0,251
0,181
0,203
0,290
0,311
0,470
0,522
0,322
0,418
0,238
0,261
0,270
0,282
0,261
0,505
0,340
0,351
0,306
0,405
0,389
0,444
0,377
0,418
0,444
0,433
0,407
0,446
0,494
0,536
0,464
0,564
0,710
0,514
0,514
0,538
0,672
0,695
0,712
0,755
0,736
0,748
0,759
0,866
0,792
0,832
0,880
0,896
0,954
0,910
0,993
0,916
0,955
1,071
0,992
1,333
1,089
0,855
1,037
1,395
1,132
1,179
1,692
1,141
1,029
1,135
1,254
1,280
1,288
1,030
1,075
1,191
1,073
1,397
1,117
1,309
1,115
1,233
1,267
1,258
1,292
1,272
1,384
1,589
1,242
1,255
1,270
1,344
1,318
1,314
1,468
1,353
